Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
E->F->B->C,0.006484215437040619,1.2959459227146344e-06,28.874131203455377
E->F->D->A->C,0.015772584622225375,3.152334608606631e-06,25.013676899900123
E->F->D->A->B->C,0.0174091081972534,3.4794128920283644e-06,24.584940317038004
E->F->D->C,0.010113555851179868,2.0213118451636634e-06,26.94366678970559
E->F->D->B->A->C,0.02079988818304311,4.1570997363464325e-06,23.8120955585816
E->F->D->B->C,0.013369361402780612,2.6720224778866187e-06,25.731598927604654
E->A->C->B->D,0.01257826480153929,2.5139126148188975e-06,25.99649822736594
E->A->C->B->F->D,0.012731475425419773,2.5445335411687937e-06,25.94391820031985
E->A->C->D,0.009322459249938546,1.8632019820959421e-06,27.297400624656085
E->A->D,0.005433397703541969,1.0859277685576018e-06,29.64199061266622
E->A->B->D,0.010460701264359704,2.090692896297403e-06,26.797097563925632
E->A->B->C->D,0.01095898282496657,2.190280265517675e-06,26.59500309826532
E->A->B->F->D,0.010613911888240186,2.1213138226472986e-06,26.73395078130214
E->B->A->C->D,0.016950456740789703,3.3877460603626766e-06,24.700891510911816
E->B->A->D,0.013061395194393127,2.610471846824336e-06,25.832809861670253
E->B->D,0.00902164839992034,1.8030814326825905e-06,27.439846587650795
E->B->C->D,0.009519929960527206,1.9026688019028628e-06,27.206368028975273
E->B->C->A->D,0.015178958731572715,3.033691565345831e-06,25.180285759149797
E->B->F->D,0.009174859023800823,1.8337023590324864e-06,27.36671156299622
E->F->B->A->C->D,0.016956812960233547,3.3890164247964477e-06,24.69926326358497
E->F->B->A->D,0.013067751413836969,2.6117422112581073e-06,25.830696917741342
E->F->B->D,0.00902800461936418,1.8043517971163616e-06,27.436787835062717
E->F->B->C->D,0.009526286179971047,1.9039391663366338e-06,27.203469320788468
E->F->B->C->A->D,0.015185314951016556,3.034961929779602e-06,25.178467522955906
E->F->D,0.0070714851082494395,1.4133186015416637e-06,28.49759924991912
E->A->C->B->D->F,0.01609744309634953,3.2172613555798375e-06,24.925136575699952
E->A->C->B->F,0.009212297130609535,1.8411848004078533e-06,27.349026190084803
E->A->C->D->F,0.012841637544748784,2.566550722856882e-06,25.90650148337108
E->A->C->D->B->F,0.014798157055863525,2.95758391843158e-06,25.29062923861584
